entity,sentence,paragraph,sentence_original,label,class_ID
IS professionals,"whether , in fact , information systems professionals find it more difficult to reach senior ranks and , if this is true , what creates this situation ( e.g. the characteristics that make them successful within information systems make them less successful in senior ranks ; negative views of information systems as a service rather than profit centre ; or that senior managers choose others that resemble themselves , with former marketing managers choosing marketing managers ) .","whether, in fact, IS professionals find it more difficult to reach senior ranks and, if this is true, what creates this situation (e.g. the characteristics that make them successful within IS make them less successful in senior ranks; negative views of IS as a service rather than profit centre; or that senior managers choose others that resemble themselves, with former marketing managers choosing marketing managers). Assignment for overseas tasks for IS Information syslems personnel as expalriates professionals may represent an opportunity to gather a broader range of skills, thus increasing the probability of eventual ascension into senior ranks. However, it could also represent a distancing from central management and years that are lost for lobbying existing senior management. Long term study of IS personnel reaching into senior management might profit from considering the impact of overseas posting on the probability of IS personnel reaching senior management ranks. ","whether, in fact, IS professionals find it more difficult to reach senior ranks and, if this is true, what creates this situation (e.g. the characteristics that make them successful within IS make them less successful in senior ranks; negative views of IS as a service rather than profit centre; or that senior managers choose others that resemble themselves, with former marketing managers choosing marketing managers).",belongs_to_article,1
marketing,"whether , in fact , information systems professionals find it more difficult to reach senior ranks and , if this is true , what creates this situation ( e.g. the characteristics that make them successful within information systems make them less successful in senior ranks ; negative views of information systems as a service rather than profit centre ; or that senior managers choose others that resemble themselves , with former marketing managers choosing marketing managers ) .","whether, in fact, IS professionals find it more difficult to reach senior ranks and, if this is true, what creates this situation (e.g. the characteristics that make them successful within IS make them less successful in senior ranks; negative views of IS as a service rather than profit centre; or that senior managers choose others that resemble themselves, with former marketing managers choosing marketing managers). Assignment for overseas tasks for IS Information syslems personnel as expalriates professionals may represent an opportunity to gather a broader range of skills, thus increasing the probability of eventual ascension into senior ranks. However, it could also represent a distancing from central management and years that are lost for lobbying existing senior management. Long term study of IS personnel reaching into senior management might profit from considering the impact of overseas posting on the probability of IS personnel reaching senior management ranks. ","whether, in fact, IS professionals find it more difficult to reach senior ranks and, if this is true, what creates this situation (e.g. the characteristics that make them successful within IS make them less successful in senior ranks; negative views of IS as a service rather than profit centre; or that senior managers choose others that resemble themselves, with former marketing managers choosing marketing managers).",belongs_to_article,1
methodologies,whether the use of different methodologies has different effects on system development .,"1. Who uses a methodology and how often; 2. whether the use of methodologies plays an important Fenton et al (1994) suggest that rigorous experimentation is needed to evaluate methodologies and their role in the determination of the economics of system development, and what role they play; and effects on organizations, processes and products. However, in practice (Chatzoglou & Macaulay, 1996) devel-3. whether the use of different methodologies has different effects on system development. opers usually choose specific methodologies for all sorts of reasons (availability, ease to use, found to work for The underlying conceptual model supporting this survey is presented in Figure 1. It assumes that there are other projects) except probably the right one (that is, suitability for the type of project they are currently work-some factors which affect developers' decisions about the use of a methodology. The characteristics of this ing on). The results can be disastrous (Lindstrom, 1993). This paper is the second of a series which present the methodology will, in turn, affect the development process, its economics and the outputs of this process. It findings of an in-depth survey of current practice associated with the requirements stage of a project. The main also assumes that all other parameters that affect the development process, its economics and its output (such objective of the survey was to obtain information about as resources, management, team members, users etc) are third, the effect of methodologies on the number of iterations of the RCA process is examined. In the fourth, the constant. Although, this is a strong assumption, it can help us isolate the effect of the issue under examination effect of methodologies on the economics of the whole development and on the RCA process is analysed, and as well as its implications. ",whether the use of different methodologies has different effects on system development.,related_work,2
system development,whether the use of different methodologies has different effects on system development .,"1. Who uses a methodology and how often; 2. whether the use of methodologies plays an important Fenton et al (1994) suggest that rigorous experimentation is needed to evaluate methodologies and their role in the determination of the economics of system development, and what role they play; and effects on organizations, processes and products. However, in practice (Chatzoglou & Macaulay, 1996) devel-3. whether the use of different methodologies has different effects on system development. opers usually choose specific methodologies for all sorts of reasons (availability, ease to use, found to work for The underlying conceptual model supporting this survey is presented in Figure 1. It assumes that there are other projects) except probably the right one (that is, suitability for the type of project they are currently work-some factors which affect developers' decisions about the use of a methodology. The characteristics of this ing on). The results can be disastrous (Lindstrom, 1993). This paper is the second of a series which present the methodology will, in turn, affect the development process, its economics and the outputs of this process. It findings of an in-depth survey of current practice associated with the requirements stage of a project. The main also assumes that all other parameters that affect the development process, its economics and its output (such objective of the survey was to obtain information about as resources, management, team members, users etc) are third, the effect of methodologies on the number of iterations of the RCA process is examined. In the fourth, the constant. Although, this is a strong assumption, it can help us isolate the effect of the issue under examination effect of methodologies on the economics of the whole development and on the RCA process is analysed, and as well as its implications. ",whether the use of different methodologies has different effects on system development.,related_work,2
individual-level,"whether the predictors display curvilinear effects on these outcomes , as has been shown with some of the Unified Theory of Acceptance and Use of Technology predictors on individual - level outcomes ( e.g. , START_CITE Brown et al . , 2012 END_CITE CITE_b11 START_CITE Brown et al . , , 2014) Liew et al. END_CITE CITE_b12 Venkatesh & Goyal , 2010) Zhou et al. ) .","whether the predictors display curvilinear effects on these outcomes, as has been shown with some of the UTAUT predictors on individual-level outcomes (e.g., Brown et al., 2012 Brown et al., , 2014 Venkatesh & Goyal, 2010). ","whether the predictors display curvilinear effects on these outcomes, as has been shown with some of the UTAUT predictors on individual-level outcomes (e.g., Brown et al., 2012 Brown et al., , 2014 Venkatesh & Goyal, 2010).",related_work,2
UTAUT,"whether the predictors display curvilinear effects on these outcomes , as has been shown with some of the Unified Theory of Acceptance and Use of Technology predictors on individual - level outcomes ( e.g. , START_CITE Brown et al . , 2012 END_CITE CITE_b11 START_CITE Brown et al . , , 2014) Liew et al. END_CITE CITE_b12 Venkatesh & Goyal , 2010) Zhou et al. ) .","whether the predictors display curvilinear effects on these outcomes, as has been shown with some of the UTAUT predictors on individual-level outcomes (e.g., Brown et al., 2012 Brown et al., , 2014 Venkatesh & Goyal, 2010). ","whether the predictors display curvilinear effects on these outcomes, as has been shown with some of the UTAUT predictors on individual-level outcomes (e.g., Brown et al., 2012 Brown et al., , 2014 Venkatesh & Goyal, 2010).",related_work,2
crowdfunding,"whether equity crowdfunding democratizes access to funding for user entrepreneurs , and","Previous qualitative studies document that user entrepreneurs face significant difficulties when commercializing their innovations (Baldwin et al., 2006; Shah & Mody, 2014) ; important among the contributing factors are the barriers they face when accessing capital for commercialization and growth. Crowdfunding is suggested as a promising solution (Mollick & Robb, 2016) because it provides access to a large and diverse pool of investors, some of whom may be open to nontraditional user entrepreneurs. Along with the increasingly important role that user entrepreneurs play in the economy (Baldwin & von Hippel, 2011) , examining the role of user entrepreneurs in the context of equity crowdfunding is thus highly salient. 2 More specifically, the two research questions of this study are (1) whether equity crowdfunding democratizes access to funding for user entrepreneurs, and (2) whether discrimination against user entrepreneurs, if it exists in equity crowdfunding, is statistical discrimination. 3 In statistical discrimination, decision makers treat groups differently as a rational response to limited information rather than prejudice (Guzman & Kacperczyk, 2019) . In contrast, in taste-based discrimination, the differences in the treatment of groups are a result of prejudice or idiosyncratic dislike for a particular group (Becker, 1957; Moser, 2012) . Identifying whether a lower preference for user innovator firms, if it exists, is statistical or taste-based discrimination has implications for fundraising strategies. Specifically, in statistical discrimination, the differential treatment of groups can be mitigated with more reliable signals of performance (either positive or negative), and the negative perceptions of the stereotyped group can be mitigated by positive performance information (Guzman & Kacperczyk, 2019 ). ","whether equity crowdfunding democratizes access to funding for user entrepreneurs, and",belongs_to_article,1
crowdfunding,"whether discrimination against user entrepreneurs , if it exists in equity crowdfunding , is statistical discrimination .","Previous qualitative studies document that user entrepreneurs face significant difficulties when commercializing their innovations (Baldwin et al., 2006; Shah & Mody, 2014) ; important among the contributing factors are the barriers they face when accessing capital for commercialization and growth. Crowdfunding is suggested as a promising solution (Mollick & Robb, 2016) because it provides access to a large and diverse pool of investors, some of whom may be open to nontraditional user entrepreneurs. Along with the increasingly important role that user entrepreneurs play in the economy (Baldwin & von Hippel, 2011) , examining the role of user entrepreneurs in the context of equity crowdfunding is thus highly salient. 2 More specifically, the two research questions of this study are (1) whether equity crowdfunding democratizes access to funding for user entrepreneurs, and (2) whether discrimination against user entrepreneurs, if it exists in equity crowdfunding, is statistical discrimination. 3 In statistical discrimination, decision makers treat groups differently as a rational response to limited information rather than prejudice (Guzman & Kacperczyk, 2019) . In contrast, in taste-based discrimination, the differences in the treatment of groups are a result of prejudice or idiosyncratic dislike for a particular group (Becker, 1957; Moser, 2012) . Identifying whether a lower preference for user innovator firms, if it exists, is statistical or taste-based discrimination has implications for fundraising strategies. Specifically, in statistical discrimination, the differential treatment of groups can be mitigated with more reliable signals of performance (either positive or negative), and the negative perceptions of the stereotyped group can be mitigated by positive performance information (Guzman & Kacperczyk, 2019 ). ","whether discrimination against user entrepreneurs, if it exists in equity crowdfunding, is statistical discrimination.",belongs_to_article,1
GSS,"whether data was collected , and epistemology , and Ž GSS factors such as GSS type , time and place dimensions , GSS software and tools , and research .","In this study the GSS papers in these journals were identified, analyzed, classified, coded and recorded according to a scheme which has evolved from the previous study and the work of a number of authors in other research of this type. In addition to the 'demographics' of journal name, year, authors and affiliations, each paper was classified according Ž to general research factors including research type, whether it was longitudinal, stage of research, . whether data was collected, and epistemology , and Ž GSS factors such as GSS type, time and place dimensions, GSS software and tools, and research . focus . In addition, though not presented in this Ž study, data factors such as data type, instruments used, dependent and independent variables studied, application task, data source, and various field and . laboratory characteristics were identified and collected. ","whether data was collected, and epistemology , and Ž GSS factors such as GSS type, time and place dimensions, GSS software and tools, and research .",belongs_to_article,1
epistemology,"whether data was collected , and epistemology , and Ž GSS factors such as GSS type , time and place dimensions , GSS software and tools , and research .","In this study the GSS papers in these journals were identified, analyzed, classified, coded and recorded according to a scheme which has evolved from the previous study and the work of a number of authors in other research of this type. In addition to the 'demographics' of journal name, year, authors and affiliations, each paper was classified according Ž to general research factors including research type, whether it was longitudinal, stage of research, . whether data was collected, and epistemology , and Ž GSS factors such as GSS type, time and place dimensions, GSS software and tools, and research . focus . In addition, though not presented in this Ž study, data factors such as data type, instruments used, dependent and independent variables studied, application task, data source, and various field and . laboratory characteristics were identified and collected. ","whether data was collected, and epistemology , and Ž GSS factors such as GSS type, time and place dimensions, GSS software and tools, and research .",background_information,3
India,"whether achieving cost - efficiencies , often gained by outsourcing development activities to low - cost locations such as India , is more important than the investment in a long - term development of shared knowledge and reuse capabilities .","whether achieving cost-efficiencies, often gained by outsourcing development activities to low-cost locations such as India, is more important than the investment in a long-term development of shared knowledge and reuse capabilities. A hybrid approach, in which some development activities will be carried out jointly across the remote sites and other activities will be centralized and accomplished in one location, is another possibility. In terms of the capabilities needed to support a joint development effort of a particular component across several sites, based on the evidence from TCS and LeCroy, Table 2 offers project managers some capabilities in the areas of the inter-site coordination, communications, and knowledge management required for the sharing of knowledge and the reuse of components in CBD environments. Last but not the least, we suggest that managers attempt to appoint project members based on their shared histories of collaboration in their area of expertise. In this way, members of a dispersed team will know each other, and their respective and shared communication and coordination routines, from past projects. Through such staffing strategies, the costs associated with inter-site communication and coordination activities can be reduced, and the challenges associated with inter-site coordination and communication activities can be overcome while knowledge sharing and component reuse can be improved. ","whether achieving cost-efficiencies, often gained by outsourcing development activities to low-cost locations such as India, is more important than the investment in a long-term development of shared knowledge and reuse capabilities.",background_information,3
outsourcing,"whether achieving cost - efficiencies , often gained by outsourcing development activities to low - cost locations such as India , is more important than the investment in a long - term development of shared knowledge and reuse capabilities .","whether achieving cost-efficiencies, often gained by outsourcing development activities to low-cost locations such as India, is more important than the investment in a long-term development of shared knowledge and reuse capabilities. A hybrid approach, in which some development activities will be carried out jointly across the remote sites and other activities will be centralized and accomplished in one location, is another possibility. In terms of the capabilities needed to support a joint development effort of a particular component across several sites, based on the evidence from TCS and LeCroy, Table 2 offers project managers some capabilities in the areas of the inter-site coordination, communications, and knowledge management required for the sharing of knowledge and the reuse of components in CBD environments. Last but not the least, we suggest that managers attempt to appoint project members based on their shared histories of collaboration in their area of expertise. In this way, members of a dispersed team will know each other, and their respective and shared communication and coordination routines, from past projects. Through such staffing strategies, the costs associated with inter-site communication and coordination activities can be reduced, and the challenges associated with inter-site coordination and communication activities can be overcome while knowledge sharing and component reuse can be improved. ","whether achieving cost-efficiencies, often gained by outsourcing development activities to low-cost locations such as India, is more important than the investment in a long-term development of shared knowledge and reuse capabilities.",belongs_to_article,1
standard deviation,whereσ k is a consistent estimate of the standard deviation of ffiffiffi T p r k .,"whereσ k is a consistent estimate of the standard deviation of ffiffiffi T p r k . To avoid using the least favorable configuration in White [25] (i.e. imposing μ = 0 in Eq. (2)) and to reduce the adverse influence of the rules with large negative average returns on the rejection rate of the null hypothesis, Hansen suggested a different way to bootstrap the distribution of Λ T SPA [13] . For the kth rule, let P z * ;b k denote the sample average of the bth bootstrapped realization of the centered returns: ",whereσ k is a consistent estimate of the standard deviation of ffiffiffi T p r k .,background_information,3
sharing market,"whereα;α À ð1=6Þ>0 : However , the assumption p Ã ðr ; τÞ > p 1 implies that ðα = αÞ > δ = ð1 þ δÞ ; which does not hold for any δ 2 ð0 ; 1 . Thus , by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be "" moderate "" in the sense that it lies in the interval ½p 0 ; p 1 : □ Proof of Lemma 4 . Aggregating owners with ν 2 ½p ; 1 yields the supply : while owners with ν 2 ½p 0 ; p constitute a supply of : This yields the sharing supply , S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active ( i.e. , positive - trading - volume ) peer - to - peer exchange in the secondary market .","whereα;α À ð1=6Þ>0: However, the assumption p Ã ðr; τÞ>p 1 implies that ðα=αÞ>δ=ð1 þ δÞ; which does not hold for any δ 2 ð0; 1. Thus, by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be ""moderate"" in the sense that it lies in the interval ½p 0 ; p 1 :□ Proof of Lemma 4. Aggregating owners with ν 2 ½p; 1 yields the supply: while owners with ν 2 ½p 0 ; p constitute a supply of: This yields the sharing supply, S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active (i.e., positive-trading-volume) peer-to-peer exchange in the secondary market. At the moderate sharing price p 2 ½p 0 ; p 1 , the supply from medium-value owners is: ","whereα;α À ð1=6Þ>0: However, the assumption p Ã ðr; τÞ>p 1 implies that ðα=αÞ>δ=ð1 þ δÞ; which does not hold for any δ 2 ð0; 1. Thus, by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be ""moderate"" in the sense that it lies in the interval ½p 0 ; p 1 :□ Proof of Lemma 4. Aggregating owners with ν 2 ½p; 1 yields the supply: while owners with ν 2 ½p 0 ; p constitute a supply of: This yields the sharing supply, S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active (i.e., positive-trading-volume) peer-to-peer exchange in the secondary market.",belongs_to_article,1
peer-to-peer,"whereα;α À ð1=6Þ>0 : However , the assumption p Ã ðr ; τÞ > p 1 implies that ðα = αÞ > δ = ð1 þ δÞ ; which does not hold for any δ 2 ð0 ; 1 . Thus , by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be "" moderate "" in the sense that it lies in the interval ½p 0 ; p 1 : □ Proof of Lemma 4 . Aggregating owners with ν 2 ½p ; 1 yields the supply : while owners with ν 2 ½p 0 ; p constitute a supply of : This yields the sharing supply , S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active ( i.e. , positive - trading - volume ) peer - to - peer exchange in the secondary market .","whereα;α À ð1=6Þ>0: However, the assumption p Ã ðr; τÞ>p 1 implies that ðα=αÞ>δ=ð1 þ δÞ; which does not hold for any δ 2 ð0; 1. Thus, by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be ""moderate"" in the sense that it lies in the interval ½p 0 ; p 1 :□ Proof of Lemma 4. Aggregating owners with ν 2 ½p; 1 yields the supply: while owners with ν 2 ½p 0 ; p constitute a supply of: This yields the sharing supply, S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active (i.e., positive-trading-volume) peer-to-peer exchange in the secondary market. At the moderate sharing price p 2 ½p 0 ; p 1 , the supply from medium-value owners is: ","whereα;α À ð1=6Þ>0: However, the assumption p Ã ðr; τÞ>p 1 implies that ðα=αÞ>δ=ð1 þ δÞ; which does not hold for any δ 2 ð0; 1. Thus, by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be ""moderate"" in the sense that it lies in the interval ½p 0 ; p 1 :□ Proof of Lemma 4. Aggregating owners with ν 2 ½p; 1 yields the supply: while owners with ν 2 ½p 0 ; p constitute a supply of: This yields the sharing supply, S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active (i.e., positive-trading-volume) peer-to-peer exchange in the secondary market.",belongs_to_article,1
retail,"whereα;α À ð1=6Þ>0 : However , the assumption p Ã ðr ; τÞ > p 1 implies that ðα = αÞ > δ = ð1 þ δÞ ; which does not hold for any δ 2 ð0 ; 1 . Thus , by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be "" moderate "" in the sense that it lies in the interval ½p 0 ; p 1 : □ Proof of Lemma 4 . Aggregating owners with ν 2 ½p ; 1 yields the supply : while owners with ν 2 ½p 0 ; p constitute a supply of : This yields the sharing supply , S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active ( i.e. , positive - trading - volume ) peer - to - peer exchange in the secondary market .","whereα;α À ð1=6Þ>0: However, the assumption p Ã ðr; τÞ>p 1 implies that ðα=αÞ>δ=ð1 þ δÞ; which does not hold for any δ 2 ð0; 1. Thus, by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be ""moderate"" in the sense that it lies in the interval ½p 0 ; p 1 :□ Proof of Lemma 4. Aggregating owners with ν 2 ½p; 1 yields the supply: while owners with ν 2 ½p 0 ; p constitute a supply of: This yields the sharing supply, S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active (i.e., positive-trading-volume) peer-to-peer exchange in the secondary market. At the moderate sharing price p 2 ½p 0 ; p 1 , the supply from medium-value owners is: ","whereα;α À ð1=6Þ>0: However, the assumption p Ã ðr; τÞ>p 1 implies that ðα=αÞ>δ=ð1 þ δÞ; which does not hold for any δ 2 ð0; 1. Thus, by contradiction of the counterfactual we obtain that the clearing price of an active sharing market must be ""moderate"" in the sense that it lies in the interval ½p 0 ; p 1 :□ Proof of Lemma 4. Aggregating owners with ν 2 ½p; 1 yields the supply: while owners with ν 2 ½p 0 ; p constitute a supply of: This yields the sharing supply, S ¼ S 10 þ S 11 , for any combination of retail price and sharing tariff that allow for an active (i.e., positive-trading-volume) peer-to-peer exchange in the secondary market.",belongs_to_article,1
polynomial regression,whereâ is the additive score of a polynomial regression of ξ on a andẑ is the outcome of a universal regression with the two latent variables j and k as regressors on z jk i .Here a and z can be given by Eqs .,"Likewise, when all predictor variables are tapped into the CART model, nine topmost important variables (WGT_KG_DON, HIST_CIG_ DON, HIST_IV_DRUG_DON, ABO_MAT, AMAT, AGE_DON, DRMAT, GINT, HLAMAT) also belong to the top-ranked two composite variables, namely donor's profile and match level with a 10-fold cross-validated variable importance ranking approach. In the USM model, nonlinear relations were sought, and at 0.05 significance level transplant success was revealed to have a significant nonlinear relationship with the donor's profile. In Fig. 4 Interaction effect (IE) of two independent latent/composite variables (ξ j and ξ k ) on ξ i (shortly IE jk i ) is expressed as the portion of variable ξ i 's explained variance that can be attributed to the interaction between ξ j and ξ k and is given by Eq. (20) [8] . whereâ is the additive score of a polynomial regression of ξ on a andẑ is the outcome of a universal regression with the two latent variables j and k as regressors on z jk i .Here a and z can be given by Eqs. (21) and (22), respectively. where a j i is the change in ξ i caused by the additive effect of ξ j , f is the neural network function, and ξ 1 and ξ n are the latent variables. By setting the value of ξ j to its mean value ( ξ j ), the change in ξ i which is provided by ξ j can be captured. Similarly, Eq. (22) represents the change in ξ i caused by the interactive effect of ξ j and ξ k . z i jk = f i ξ 1 ; …; ξ j ; …; ξ k ; …; ξ l −f i ξ 1 ; …;ξ j ; …;ξ k ; …; ξ l Þ ð22Þ ",whereâ is the additive score of a polynomial regression of ξ on a andẑ is the outcome of a universal regression with the two latent variables j and k as regressors on z jk i .Here a and z can be given by Eqs.,background_information,3
